tree_id,legal_status,species,address,site_order,site_info,plant_type,care_taker,care_assistant,plant_date,dbh,plot_size,permit_notes,x_coordinate,y_coordinate,latitude,longitude,location
48279,Permitted Site,Tree(s) ::,,89,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
48068,Permitted Site,Tree(s) ::,,234,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
44875,Permitted Site,Tree(s) ::,,148,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44885,Permitted Site,Tree(s) ::,,158,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
45978,Permitted Site,Tree(s) ::,,129,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
35278,Permitted Site,Tree(s) ::,,5,Sidewalk: Curb side : Cutout,Tree,Private,,1998-02-17 12:00:00.000000 UTC,,,Permit Number 38758,,,,,
45914,Permitted Site,Tree(s) ::,,33,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
44553,Permitted Site,Tree(s) ::,,4,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
46200,Permitted Site,Pyrus kawakamii :: Evergreen Pear,,2,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-31 12:00:00.000000 UTC,,,Permit Number 44518,,,,,
35280,Permitted Site,Olea europaea :: Olive Tree,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1998-02-17 12:00:00.000000 UTC,,,Permit Number 38758,,,,,
44583,Permitted Site,Tree(s) ::,,147,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
36629,Permitted Site,Tree(s) ::,,4,Sidewalk: Curb side : Cutout,Tree,Private,,1998-05-20 12:00:00.000000 UTC,,,Permit Number 39461,,,,,
46140,Permitted Site,Tree(s) ::,,2,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-27 12:00:00.000000 UTC,,,Permit Number 44490,,,,,
45971,Permitted Site,Tree(s) ::,,161,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
48488,Permitted Site,Tree(s) ::,,5,Sidewalk: Curb side : Cutout,Tree,Private,,,,,Permit Number 45832,,,,,
44851,Permitted Site,Tree(s) ::,,38,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44671,Permitted Site,Tree(s) ::,,53,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
48216,Permitted Site,Tree(s) ::,,190,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
44588,Permitted Site,Tree(s) ::,,116,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
36637,Permitted Site,Robinia x ambigua :: Locust,,17,Sidewalk: Curb side : Cutout,Tree,Private,,1998-05-20 12:00:00.000000 UTC,,,Permit Number 39461,,,,,
45907,Permitted Site,Tree(s) ::,,62,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
45844,Permitted Site,Tree(s) ::,,82,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
34117,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1997-07-05 12:00:00.000000 UTC,,,Permit Number 37979,,,,,
44839,Permitted Site,Tree(s) ::,,13,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
45965,Permitted Site,Tree(s) ::,,158,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
46021,Permitted Site,Tree(s) ::,,216,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
44548,Permitted Site,Tree(s) ::,,6,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
35694,Permitted Site,Liriodendron tulipifera :: Tulip Tree,,4,Sidewalk: Curb side : Cutout,Tree,Private,,1998-04-10 12:00:00.000000 UTC,,,Permit Number 38993,,,,,
44996,Permitted Site,Tree(s) ::,,108,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
46001,Permitted Site,Tree(s) ::,,169,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
46002,Permitted Site,Tree(s) ::,,138,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
44982,Permitted Site,Tree(s) ::,,54,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
45884,Permitted Site,Tree(s) ::,,9,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
45894,Permitted Site,Tree(s) ::,,14,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
